kpi,kpi_label,priority_band,anomaly_count,revenue_at_risk_sum,upside_sum,avg_priority_score,avg_deviation_pct,revenue_pct_of_total
avg_discount_pct,Avg Discount %,LOW,3,721.6700000000001,0.0,0.474185,2.8666666666666667,-0.02
avg_discount_pct,Avg Discount %,MEDIUM,12,17557.93,0.0,0.5336323333333334,20.713333333333335,-0.49
avg_order_value_usd,Avg Order Value,HIGH,2,-377123.9,0.0,0.7845690000000001,166.375,10.46
avg_order_value_usd,Avg Order Value,MEDIUM,3,-57171.299999999996,0.0,0.696224,15.366666666666667,1.59
avg_roas,Avg ROAS,HIGH,58,-1379199.05,4954.93,0.8452193620689655,96.65431034482758,38.27
avg_roas,Avg ROAS,MEDIUM,5,64118.81,12823.761999999999,0.699681,-52.124,-1.78
bounce_rate,Bounce Rate,MEDIUM,5,14226.880000000001,0.0,0.6788442,8.331999999999999,-0.39
conversion_rate,Conversion Rate,HIGH,6,-107508.23999999999,0.0,0.8529606666666667,20.904999999999998,2.98
inventory_health,Inventory Health,MEDIUM,28,-143775.28999999998,0.0,0.5745512857142857,41.7425,3.99
n_orders,Order Count,HIGH,10,-107304.26,0.0,0.8657517,10.992999999999999,2.98
n_stockouts,Stockout Count,LOW,3,0.0,0.0,0.45,,-0.0
n_stockouts,Stockout Count,MEDIUM,2,234.31,0.0,0.580639,250.01999999999998,-0.01
return_rate,Return Rate,MEDIUM,4,284.79999999999995,0.0,0.56156925,1.0175,-0.01
sessions,Web Sessions,MEDIUM,7,-634705.05,0.0,0.6216301428571429,68.31714285714285,17.61
total_clicks,Total Clicks,LOW,1,-130.16,0.0,0.469101,0.14,0.0
total_clicks,Total Clicks,MEDIUM,23,-61550.76,0.0,0.6134313913043478,0.10913043478260862,1.71
total_revenue_usd,Total Revenue,HIGH,10,-832438.8300000001,0.0,0.8998063000000001,61.456,23.1
