date,anomaly_count,escalate_count,investigate_count,monitor_count,suppressed_count,revenue_at_risk,high_count,medium_count,low_count
2024-01-11,1,0,0,0,1,-74894.67,1,0,0
2024-01-30,1,0,0,0,1,-63747.32,0,1,0
2024-01-31,1,0,0,0,1,-40739.14,1,0,0
2024-02-02,1,0,0,0,1,-13383.71,0,1,0
2024-02-27,1,0,0,0,1,-23847.12,0,1,0
2024-03-11,1,0,0,0,1,-39841.15,0,1,0
2024-03-15,2,0,2,0,0,58269.26,0,2,0
2024-04-12,1,0,0,0,1,-48110.02,0,1,0
2024-04-17,9,0,2,1,6,-31280.54,0,5,4
2024-04-28,1,0,0,0,1,-48634.05,0,1,0
2024-04-29,1,0,0,0,1,-27480.9,0,1,0
2024-06-01,1,0,0,0,1,-36465.7,0,1,0
2024-06-12,1,0,0,0,1,-35238.04,0,1,0
2024-06-18,9,0,0,3,6,5692.450000000001,0,5,4
2024-06-19,5,0,1,2,2,-57629.28,0,2,3
2024-06-20,7,0,0,3,4,-37104.85,0,3,4
2024-06-21,3,0,1,2,0,61014.030000000006,0,1,2
2024-06-22,5,0,1,2,2,51209.780000000006,0,2,3
2024-06-24,1,0,0,0,1,-34932.97,0,1,0
2024-06-26,6,0,3,1,2,22224.589999999997,0,4,2
2024-07-10,3,0,1,1,1,-7723.049999999999,0,2,1
2024-07-11,3,0,0,1,2,-62956.170000000006,0,1,2
2024-07-23,5,0,1,1,3,77753.45,0,4,1
2024-08-09,1,0,0,0,1,-65225.92,0,1,0
2024-08-14,1,0,0,0,1,-22292.25,0,1,0
2024-08-17,1,0,0,0,1,-21172.84,0,1,0
2024-08-20,6,0,1,1,4,-103997.55,2,1,3
2024-08-21,3,0,0,1,2,-17724.39,0,1,2
2024-09-03,1,0,0,0,1,-52574.57,0,1,0
2024-09-30,1,0,0,0,1,-36999.57,0,1,0
2024-10-24,1,0,0,0,1,-28243.57,0,1,0
2024-10-31,1,0,0,0,1,-57717.27,0,1,0
2024-11-05,5,0,2,1,2,-305404.97,0,2,3
2024-11-29,6,0,0,1,5,-616760.1900000001,3,1,2
2024-12-02,6,0,0,1,5,-193951.22999999998,2,2,2
2024-12-14,5,0,0,1,4,-82770.51,0,1,4
2024-12-16,4,0,1,2,1,15069.800000000001,0,2,2
2025-01-14,3,0,0,0,3,-46882.92,1,1,1
2025-01-21,1,0,0,0,1,-64724.03,0,1,0
2025-01-26,2,0,0,2,0,23162.45,0,0,2
2025-01-27,4,0,2,1,1,-87721.56,0,2,2
2025-01-28,3,0,0,2,1,44968.399999999994,0,1,2
2025-01-29,3,0,1,0,2,-12217.59,0,2,1
2025-01-30,3,0,0,2,1,-948.1500000000005,0,1,2
2025-01-31,5,0,0,1,4,-85822.15,0,2,3
2025-02-01,4,0,0,1,3,573.4900000000002,0,1,3
2025-02-02,2,0,0,0,2,-13276.67,0,1,1
2025-02-04,4,0,1,1,2,32593.11,0,2,2
2025-02-10,1,0,1,0,0,27658.09,0,1,0
2025-02-17,1,0,0,0,1,-28944.74,0,1,0
2025-02-20,1,0,0,0,1,-17863.81,0,1,0
2025-02-26,1,0,0,0,1,-29788.6,0,1,0
2025-04-30,1,0,0,0,1,-30556.2,0,1,0
2025-05-05,1,0,0,0,1,-19015.21,0,1,0
2025-05-25,2,0,0,1,1,-78043.78,1,0,1
2025-06-09,1,0,0,0,1,-21441.0,0,1,0
2025-07-07,1,0,0,0,1,-22166.78,0,1,0
2025-07-10,1,0,0,0,1,-18350.94,0,1,0
2025-07-26,1,0,0,0,1,-28701.18,0,1,0
2025-08-19,1,0,0,0,1,-27995.09,0,1,0
2025-08-30,1,0,0,0,1,-32280.83,0,1,0
2025-08-31,1,0,0,0,1,-14298.92,0,1,0
2025-09-17,3,0,1,0,2,-288040.55,0,1,2
2025-09-20,1,0,0,0,1,-56479.76,0,1,0
2025-09-24,4,0,0,2,2,-50450.14,1,0,3
2025-09-25,5,0,0,2,3,-31006.8,1,1,3
2025-11-08,1,0,0,0,1,-47258.78,0,1,0
2025-11-28,6,0,1,1,4,-453216.80999999994,2,2,2
2025-12-01,2,0,0,0,2,-91823.24,0,2,0
2025-12-24,1,0,0,0,1,-41789.66,0,1,0
